id,Study ID,Title,Country,City,Indicator,Tool,nature_type,exposure_type_t1,exposure_type,study_design,Season,n_participants,male_percent_mean,gender_group,average_age_mean,age_group,Generation of randomization sequence,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessment,Incomplete outcome data,Selective reporting,Other sources of bias
171,Rajoo 2021,Addressing psychosocial issues caused by the COVID-19 lockdown: Can urban greeneries help?,Malaysia,NA,Anxiety; Depression; Stress,DASS-21,Greenspace,L4 - stay static in nature,In nature - Static,Uncontrolled before-after study,Spring,30,66.6,Male > 60%,26.2,Adults,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
171,Rajoo 2021,Addressing psychosocial issues caused by the COVID-19 lockdown: Can urban greeneries help?,Malaysia,NA,Anxiety; Depression; Stress,DASS-21,Greenspace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring,30,66.6,Male > 60%,26.2,Adults,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
472,Raman 2021,The Effects of Different Natural Environment Influences on Health and Psychological Well-Being of People: A Case Study in Selangor,Malaysia,Selangor,Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress,DASS-21,Greenspace - Forest; Greenspace - Park; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Winter,80,30,Female > 60%,33.68,Adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
493,Song 2022,The Effects of Exercise and Social Interaction in Different Natural Environments on the Mental Health of Urban Residents,China,Changsha,Affect; Depression; Stress,DASS-21,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,NA,33,NA,NA,25,Young adults,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
734,Vujcic 2018,"Urban forest benefits to the younger population: The case study of the city of Belgrade, Serbia",Serbia,Belgrade,Anxiety; Depression; Stress,DASS-21,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer,47,24,Female > 60%,22.8,Young adults,Unclear,Unclear,High risk of bias,Low risk of bias,Unclear,Low risk of bias,Low risk of bias
2763,Yeung 2022,Cognitive-Emotional Benefits of Weekly Exposure to Nature: A Taiwanese Study on Young Adults,China,"Taipei, Taiwan",Anxiety; Cognitive functioning; Depression; Stress; Other: rumination,DASS-21,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Winter,48,52.1,Gender Balance,25.08,Adults,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2867,Brooks 2017,Nature-related mood effects: Season and type of nature contact,Canada,Regina,Affect; Anxiety; Depression; Mood; Stress; Other: eudaimonia,DASS-21,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall; Winter,121,18.18,Female > 60%,21.54,Young adults,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear,Low risk of bias,Low risk of bias
151,Mokhtar 2018,Physiological and Psychological Health Benefits of Urban Green Space in Kuala Lumpur: A comparison between Taman Botani Perdana and Jalan Bukit Bintang,Malaysia,Kuala Lumpur,Affect; Mood; Restorative effects/Restorativeness,PANAS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,NA,20,100,Male > 60%,23.1,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Low risk of bias,High risk of bias,Unclear
472,Raman 2021,The Effects of Different Natural Environment Influences on Health and Psychological Well-Being of People: A Case Study in Selangor,Malaysia,Selangor,Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress,PANAS,Greenspace - Forest; Greenspace - Park; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Winter,80,30,Female > 60%,33.68,Adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
616,Reeves 2019,The Application of Wearable Technology to Quantify Health and Wellbeing Co-benefits From Urban Wetlands,UK,London,Anxiety; Depression; Mood; Stress,PANAS,Bluespace - Wetland,L4 - stay static in nature,In nature - Static,Uncontrolled before-after study,Summer,34,38.2,Female > 60%,41,Adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Unclear,Unclear,Unclear
1940,Maund 2019,Wetlands for Wellbeing: Piloting a Nature-Based Health Intervention for the Management of Anxiety and Depression,UK,Gloucestershire,Mental wellbeing in general*; Affect; Anxiety; Stress,PANAS,Bluespace - Wetland,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring; Summer,16,50,Gender Balance,45,Adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",PANAS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall,77,7.8,Female > 60%,47.64,Adults,Unclear,Unclear,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear
