id,author,title,doi,country,indicator,tools,nature_type,exposure_type,study_design,season,n_participants,gender_group,age_group
171,Rajoo 2021,Addressing psychosocial issues caused by the COVID-19 lockdown: Can urban greeneries help?,10.1016/j.ufug.2021.127340,Malaysia,Anxiety; Depression; Stress,DASS-21,Greenspace,Stay static in nature; Physical activity in nature,Uncontrolled before-after study,Spring,30,Male > 60%,Adults
472,Raman 2021,The Effects of Different Natural Environment Influences on Health and Psychological Well-Being of People: A Case Study in Selangor,10.3390/su13158597,Malaysia,Affect; Anxiety; Depression; Mood; Restorative effects; Stress,DASS-21; PANAS; POMS; ROS,Greenspace - Forest; Greenspace - Park; Greenspace - Green alley/Roadside green,Physical activity in nature,RCT - parallel,Winter,80,Female > 60%,Adults
493,Song 2022,The Effects of Exercise and Social Interaction in Different Natural Environments on the Mental Health of Urban Residents,10.3390/su142114095,China,Affect; Depression; Stress,DASS-21,Greenspace - Forest; Greenspace - Park,Physical activity in nature,Uncontrolled before-after study,NA,33,Gender Balance,Young adults
734,Vujcic 2018,"Urban forest benefits to the younger population: The case study of the city of Belgrade, Serbia",10.1016/j.forpol.2018.08.006,Serbia,Anxiety; Depression; Stress,DASS-21,Greenspace - Forest,Stay static in nature,RCT - parallel,Spring; Summer,47,Female > 60%,Young adults
2763,Yeung 2022,Cognitive-Emotional Benefits of Weekly Exposure to Nature: A Taiwanese Study on Young Adults,10.3390/su14137828,China,Anxiety; Cognitive functioning; Depression; Stress; rumination,DASS-21; PSS,Greenspace,Physical activity in nature,RCT - parallel,Winter,48,Gender Balance,Adults
2867,Brooks 2017,Nature-related mood effects: Season and type of nature contact,10.1016/j.jenvp.2017.10.004,Canada,Affect; Anxiety; Depression; Mood; Stress; eudaimonia,DASS-21; PANAS,Greenspace - Park,Physical activity in nature,RCT - parallel,Fall; Winter,121,Female > 60%,Young adults
151,Mokhtar 2018,Physiological and Psychological Health Benefits of Urban Green Space in Kuala Lumpur: A comparison between Taman Botani Perdana and Jalan Bukit Bintang,NA,Malaysia,Affect; Mood; Restorative effects,PANAS; POMS; ROS,Greenspace - Park,Physical activity in nature,Uncontrolled before-after study,NA,20,Male > 60%,Young adults
616,Reeves 2019,The Application of Wearable Technology to Quantify Health and Wellbeing Co-benefits From Urban Wetlands,10.3389/fpsyg.2019.01840,UK,Anxiety; Depression; Mood; Stress,PANAS,Bluespace - Wetland,Stay static in nature,Uncontrolled before-after study,Summer,34,Female > 60%,Adults
1940,Maund 2019,Wetlands for Wellbeing: Piloting a Nature-Based Health Intervention for the Management of Anxiety and Depression,10.3390/ijerph16224413,UK,Mental wellbeing in general*; Affect; Anxiety; Stress,PANAS; PSS,Bluespace - Wetland,Physical activity in nature,Uncontrolled before-after study,Spring; Summer,16,Gender Balance,Adults
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,10.1016/j.jenvp.2013.12.005,Finland,"Mood; Restorative effects; Vitality, Creativity",PANAS; ROS; SVS,Greenspace - Forest; Greenspace - Park,Stay static in nature; Physical activity in nature,RCT - parallel,Spring; Summer; Fall,77,Female > 60%,Adults
2037,Li 2021,"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China",10.3390/ijerph18010090,China,Emotional wellbeing; Mood; Restorative effects,PANAS; POMS; ROS,Greenspace,Physical activity in nature,RCT - parallel,Fall,48,Female > 60%,Adults
2186,Duan 2022,Effects of Plant Communities on Human Physiological Recovery and Emotional Reactions: A Comparative Onsite Survey and Photo Elicitation Study,10.3390/ijerph19020721,China,Affect; Stress,PANAS,Greenspace - Forest; Greenspace - Shrub/scrub; Greenspace - Grassland; Greenspace,Stay static in nature,Uncontrolled before-after study,Fall,320,Gender Balance,Young adults
2315,Joung 2022,Quality of Life and Mental Health Benefits of Public Participation in Forest Conservation Activities in Urban Areas,10.3390/ijerph19159768,South Korea,Affect; Emotional wellbeing; Quality of life; Restorative effects; Self-esteem,PANAS,Greenspace - Forest,Physical activity in nature,Uncontrolled before-after study,Fall,61,Gender Balance,Young adults
2998,Saadi 2020,"There's no place like home? The psychological, physiological, and cognitive effects of short visits to outdoor urban environments compared to staying in the indoor home environment, a field experiment on women from two ethnic groups",10.1016/j.envres.2020.109687,Israel,Mood; Working  memory,PANAS,Greenspace - Park,Stay static in nature,RCT - parallel,Summer; Fall; Winter,72,Female > 60%,Adults
3057,Janeczko 2020,When Urban Environment Is Restorative: The Effect of Walking in Suburbs and Forests on Psychological and Physiological Relaxation of Young Polish Adults,10.3390/f11050591,Poland,"Affect; Depression; Mood; Restorative effects; Vitality, Tension, Anger, Fatigue, Confusion, Vigor",PANAS; POMS; ROS; SVS,Greenspace - Forest; Greenspace - Green alley/Roadside green,Physical activity in nature,RCT - parallel,Fall,75,Gender Balance,Young adults
3115,Bratman 2015,The benefits of nature experience: Improved affect and cognition,10.1016/j.landurbplan.2015.02.005,United States,Affect; Cognitive functioning,PANAS; STAI,Greenspace - Park,Physical activity in nature,RCT - parallel,NA,60,Gender Balance,Young adults
3154,Legrand 2022,Effects of Outdoor Walking on Positive and Negative Affect: Nature Contact Makes a Big Difference,10.3389/fnbeh.2022.901491,France,Affect,PANAS,Greenspace,Physical activity in nature,RCT - parallel,NA,150,Male > 60%,Young adults
3220,Korcz 2021,Influence of Informal Education in the Forest Stand Redevelopment Area on the Psychological Restoration of Working Adults,10.3390/f12080993,Poland,"Affect; Mood; Restorative effects; vitality, confusion, fatigue, anger, anxiety, vigor",PANAS; POMS; ROS; SVS,Greenspace - Forest,Physical activity in nature,Non-randomised experimental study,Fall,60,Gender Balance,Young adults
