Study ID,Title,Country,City,Indicator,Tools,nature_type,nature_quantity,exposure_type
Kwon 2021,Urban green space and happiness in developed countries,m,NA,Happiness,WHR,NA,NA,NA
Feng 2018,Residential green space quantity and quality and symptoms of psychological distress: a 15-year longitudinal study of 3897 women in postpartum,Australia,m,Psychotic disorders (include schizophrenia),K6 (Kessler Psychological Distress Scale - 6),NA,NA,NA
Engemann 2019,Residential green space in childhood is associated with lower risk of psychiatric disorders from adolescence into adulthood,Danmark,NA,Psychotic disorders (include schizophrenia),psychiatric disorder,NA,NA,NA
Labib 2020,"Noncommunicable Diseases, Park Prescriptions, and Urban Green Space Use Patterns in a Global South Context: The Case of Dhaka, Bangladesh",NA,NA,NA,NA,NA,NA,NA
White 2013,Would You Be Happier Living in a Greener Urban Area? A Fixed-Effects Analysis of Panel Data,UK,m,Mental distress; Life satisfaction,GHQ,NA,NA,NA
Wood 2017,"Public green spaces and positive mental health - investigating the relationship between access, quantity and types of parks and mental wellbeing",Australia,Perth,Mental wellbeing in general*,WEMWBS (Warwick-Edinburgh Mental Wellbeing Scale),Greenspace - Park,Percentage of greenspace,L1 - neighborhood/residential exposure
Huang 2021,The Contribution to Stress Recovery and Attention Restoration Potential of Exposure to Urban Green Spaces in Low-Density Residential Areas,China,"Fuzhou, Fujian Province",Restorative effects/Restorativeness; Stress,PRS (Perceived Restorativeness Scale),NA,NA,NA
Li 2022,Green Space for Mental Health in the COVID-19 Era: A Pathway Analysis in Residential Green Space Users,China,m,Anxiety; Depression,GAD-7; PHQ-9,Greenspace - Park; Greenspace - General* (not specified),NA,Other: L1 - neighborhood/residential exposure; L4 - physical activity in nature
Ha 2022,Urban green space alone is not enough: A landscape analysis linking the spatial distribution of urban green space to mental health in the city of Chicago,United States,Chicago,Other: distress,K6 (Kessler Psychological Distress Scale - 6),NA,NA,NA
Zhang 2015,Green Space Attachment and Health: A Comparative Study in Two Urban Neighborhoods,Netherlands,Groningen,Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),Greenspace - General* (not specified),NA,NA
Tost 2019,Neural correlates of individual differences in affective benefit of real-life urban green space exposure,Germany,Mannheim,Psychotic disorders (include schizophrenia),Electroencephalography (EEG),NA,NA,NA
Xu 2021,Perceived urban green and residents' health in Beijing,China,Beijing,Mental wellbeing in general*, the Health Questionnaire of Urban Residents in China,NA,NA,NA
Wang 2022,"Understanding the relationship between small urban parks and mental health: A case study in Shanghai, China",China,Shanghai,Depression,MHI-5 (Mental Health Inventory 5-item),Greenspace - Park; Greenspace - General* (not specified),Other: NDVI; visit frequency; stay time,Other: L1 - neighborhood/residential exposure; L4 - visit frequency; L4 - duration in nature
Lee 2019,Do Sociodemographic Factors and Urban Green Space Affect Mental Health Outcomes Among the Urban Elderly Population?,South Korea,m,Depression; Stress,CHS,NA,NA,NA
Markevych 2014,Access to urban green spaces and behavioural problems in children: Results from the GINIplus and LISAplus studies,Germany,Munich,Other: behavioural problems,SDQ,NA,NA,NA
Engemann 2020,Associations between growing up in natural environments and subsequent psychiatric disorders in Denmark,Denmark,m,Psychotic disorders (include schizophrenia),Diagnosis by professionals,NA,NA,NA
Gidlow 2016,Research note: Natural environments and prescribing in England,UK,m,Depression,anti-depressant prescribing,NA,NA,NA
Huerta 2021,Evaluating the association between urban green spaces and subjective well-being in Mexico city during the COVID-19 pandemic,Mexico,Mexico City,Other: subjective well-being,"WEMWBS 7-item (Shortened-WEMWBS, or SWEMWBS)",Greenspace - General* (not specified),NA (or not specified),Other: L4 - specific visits (or one-off visits); L2 - objective accessibility; L4 - visit frequency
Lin 2019,The effect of green space behaviour and per capita area in small urban green spaces on psychophysiological responses,China,Chengdu,Mood; Other: Attention,Stroop colour task; POMS,Greenspace - General* (not specified),Other:  per capita area (PCA),Other: L4 - stay static in nature; L4 - physical activity in nature
Coldwell 2018,Visits to urban green-space and the countryside associate with different components of mental well-being and are better predictors than perceived or actual local urbanisation intensity,UK,m,Mental wellbeing in general*,"WEMWBS 7-item (Shortened-WEMWBS, or SWEMWBS)",Greenspace - Garden; Greenspace - General* (not specified),NA (or not specified),Other: L4 - visit frequency; L5 - gardening frequency
Alcock 2015,What accounts for 'England's green and pleasant land'? A panel data analysis of mental health and land cover types in rural England,UK,m,Mental wellbeing in general*,GHQ-12,Greenspace - Forest/Tree; Greenspace - Grassland; Greenspace - Farmland; Bluespace - Open water (river/lake/canal); Bluespace - Sea; Bluespace - Beach/coastline,Percentage of greenspace,NA
Alcock 2014,Longitudinal Effects on Mental Health of Moving to Greener and Less Green Urban Areas,UK,m,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Richardson 2013,Role of physical activity in the relationship between urban green space and health,New Zealand,m,Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Kanelli 2021,Engaging the Senses: The Association of Urban Green Space with General Health and Well-Being in Urban Residents,Greece,Athens,Mood,POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Narea 2022,The Effect of COVID-19 Lockdowns on Maternal Mental Health and Parenting Practices Moderated by Urban Green Space,Chile,Santiago,Depression; Stress,PSI-SF; CES-D-20,NA,NA,NA
Hong 2019,Impact of Frequency of Visits and Time Spent in Urban Green Space on Subjective Well-Being,South Korea,Daejeon,Affect; Life satisfaction,SPANE; SWLS,NA,NA,NA
Zhang 2021,Relative importance of quantitative and qualitative aspects of urban green spaces in promoting health,Singapore,Singapore,Mental distress,GHQ-12,Greenspace - Forest/Tree; Greenspace - Park; Greenspace - Green alley/Roadside green; Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Zhang 2019,Associations between Urban Green Spaces and Health are Dependent on the Analytical Scale and How Urban Green Spaces are Measured,Singapore,m,Mental distress,GHQ-12,Greenspace - Forest/Tree; Greenspace - Park; Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Noordzij 2020,Effect of changes in green spaces on mental health in older adults: a fixed effects analysis,Netherlands,Eindhoven,Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),Greenspace - Farmland; Greenspace - General* (not specified),Other: distance; amount,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility
Home 2012,Psychosocial Outcomes as Motivations for Visiting Nearby Urban Green Spaces,Switzerland,NA,Mental wellbeing in general*,Shin et al.'s psychosocial outcomes scale,NA,NA,NA
Oswald 2021,"Mental Health of Young Australians during the COVID-19 Pandemic: Exploring the Roles of Employment Precarity, Screen Time, and Contact with Nature",Australia,m,Mental wellbeing in general*; Mental disorder,MHC-SF; K10,NA,NA,NA
Coventry 2019,The Mental Health Benefits of Purposeful Activities in Public Green Spaces in Urban and Semi-Urban Neighbourhoods: A Mixed-Methods Pilot and Proof of Concept Study,UK,"Yorkshire, England",Mental wellbeing in general*; Mood,SWEMWBS; UWIST-MACL;,Greenspace - General* (not specified),NA (or not specified),NA
Qiao 2021,"Deciphering the Link Between Mental Health and Green Space in Shenzhen, China: The Mediating Impact of Residents' Satisfaction",China,Shenzhen,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Hoj 2021,Relative 'greenness' and not availability of public open space buffers stressful life events and longitudinal trajectories of psychological distress,Australia,Montreal,Stress,K10 (Kessler Psychological Distress Scale - 10),NA,NA,NA
Dzhambov 2018,Multiple pathways link urban green- and bluespace to mental health in young adults,Bulgaria,Plovdiv,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified); Bluespace - General* (not specified),Other: NDVI; Presence of bluespace,L1 - neighborhood/residential exposure
Yoo 2022,Exposure to urban green space may both promote and harm mental health in socially vulnerable neighborhoods: A neighborhood-scale analysis in New York City,United States,New York City,Mental disorder,Diagnosis by professionals,NA,NA,NA
Astell-Burt 2014,The association between green space and mental health varies across the lifecourse. A longitudinal study,UK,m,Mental disorder,GHQ-12,Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Zhao 2022,International Chinese Students in the UK: Association between Use of Green Spaces and Lower Stress Levels,UK,"Edinburgh, Scotland, United Kingdom",Stress,PSS (Perceived Stress Scale),Greenspace - General* (not specified),NA (or not specified),Other: L2 - subjective accessibility; L4 - visit frequency; L4 - duration in nature
Nieuwenhuijsen 2022,The evaluation of the 3-30-300 green space rule and mental health,Spain,Barcelona,Mental wellbeing in general*,GHQ-12; use of tranquilizer/sedatives and antidepressant; Diagnosis by professionals,Greenspace - Forest/Tree; Greenspace - Park; Greenspace - General* (not specified),Other: Green window view (home); NDVI; Distance to green space,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility; L3 - view of nature from window
Olszewska-Guizzo 2020,Can Exposure to Certain Urban Green Spaces Trigger Frontal Alpha Asymmetry in the Brain?-Preliminary Findings from a Passive Task EEG Study,NA,NA,NA,NA,NA,NA,NA
Zhou 2022,The Effects of Urban Green Space on Depressive Symptoms of Mid-Aged and Elderly Urban Residents in China: Evidence from the China Health and Retirement Longitudinal Study,China,m,Depression,CES-D10 (Center for Epidemiologic Studies Depression Scale - 10),Greenspace - General* (not specified),Percentage of greenspace,NA
Mokhtar 2018,Physiological and Psychological Health Benefits of Urban Green Space in Kuala Lumpur: A comparison between Taman Botani Perdana and Jalan Bukit Bintang,Malaysia,Kuala Lumpur,Affect; Mood; Restorative effects/Restorativeness,POMS; PANAS; ROS,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
NA,Assessing and Modelling the role of urban green spaces for human well-being in Lahore (Pakistan),Pakistan,Lahore,Mental wellbeing in general*,WEMWBS; CRWS,Greenspace - General* (not specified),NA (or not specified),Other: L4 - visit frequency; L4 -  Spending hours; L2 - objective accessibility
Marselle 2020,Urban street tree biodiversity and antidepressant prescriptions,Germany,Leipzig,Depression,Antidepressant prescription,NA,NA,NA
