id,author,doi,country,tools,indicators
1933,Watson 2020,10.1016/j.healthplace.2020.102381,"Spain, Netherlands, Lithuania, United Kingdom",4DSQ,Mental distress
568,MRCCFAS 2015,10.1136/bmjopen-2015-007936,UK,AGECAT,Anxiety; Depression
3334,Stevenson 2019,10.3389/fpsyg.2019.00042,Denmark,ANT; PRS-C II,Cognitive functioning; Restorative effect
3659,Houlden 2019,10.1016/j.apgeog.2019.102036,UK,APS,Happiness; Life satisfaction; Worth
302,Wood 2018,10.3389/fpsyg.2018.02320,UK,ART,Restorative effect
56,Gidlow 2016,10.1016/j.landurbplan.2016.02.002,UK,Antidepressant Rx,Depression
522,Taylor 2015,10.1016/j.landurbplan.2014.12.005,UK,Antidepressant Rx,Depression
607,Helbich 2018,10.1016/j.envres.2018.06.010,Netherlands,Antidepressant Rx,Psychotic disorders
2442,Tarkiainen 2021,10.1136/jech-2020-214276,Italy; Sweden; Finland,Antidepressant Rx,Depression
170,Marselle 2020,10.1038/s41598-020-79924-5,Germany,Antidepressant prescription,Depression
361,McDougall 2021,10.1016/j.landurbplan.2021.104132,Scotland,Antidepressant prescription,Depression
960,Gonzales-Inca 2022,10.1016/j.healthplace.2022.102760,Finland,BDI; Diagnosis,Depression
3122,Jones 2021,10.1016/j.landurbplan.2021.104061,UK,BMS; Backward Digit Span; ROS,Cognitive functioning; Mood; Restorative effect
2381,Jones 2021,10.1016/j.forpol.2021.102408,United States,BRFSS,Life satisfaction
529,Liao 2019,10.1016/j.envint.2019.03.070,China,Bayley scale of Infant Development,mental development index; psychomotor development index
886,VanHerzele 2012,10.1007/s11111-011-0153-1,Belgium,Belgian Health Interview Survey,Mental wellbeing ; Happiness
523,Liao 2020,10.1093/ije/dyz243,China,CBCL,Anxiety; Depression; social withdrawal; immature behavior; somatic complaints; sex problems; splitting behavior; aggressive behavior; delinquent behavior; hyperactivity/inattention; social problems; compulsivity; cruel behavior
2370,Lee 2019,10.1016/j.scitotenv.2019.03.454,South Korea,CBCL,neurobehavioral health
944,Jarvis 2020,10.1016/j.envres.2020.109614,Canada,CCHS,Mental wellbeing ; Psychotic disorders
2667,Crouse 2021,10.1016/j.envres.2020.110267,Canada,CCHS; K10,Mental wellbeing ; Mental distress; Stress
145,Zhou 2022,10.3390/ijerph19020717,China,CES-D10,Depression
698,Cottagiri 2022,10.1016/j.envres.2021.112587,Canada,CES-D10,Depression
825,Bojorquez 2018,10.1177/0020764018795198,Mexico,CES-D10,Depression
2014,Reklaitiene 2014,10.1177/1403494814544494,Lithuania,CES-D10,Depression
2076,Koohsari 2018,10.1016/j.cities.2017.11.011,Australia,CES-D10,Depression
2587,Bezold 2018,10.1016/j.annepidem.2018.01.009,United States,CES-D10,Depression
2557,Djeudeu 2020,10.1016/j.sste.2020.100340,Germany,CES-D15,Depression
575,Song 2019,10.3390/ijerph16020173,South Korea,CES-D20,Depression
813,Liu 2019,10.1016/j.healthplace.2019.102168,China,CES-D20,Depression
848,Miles 2012,10.1007/s11524-011-9621-2,United States,CES-D20,Depression
3089,Tomita 2017,10.1016/s2542-5196(17)30063-3,South Africa,CES-D20,Depression
2145,Bustamante 2022,10.1016/j.healthplace.2022.102813,United States,CES-D; BAI; UCLA loneliness scale,Anxiety; Depression; Loneliness
798,Cheng 2020,10.1080/14765284.2020.1798639,China,CFPS question,Happiness
2350,Trkulja 2021,10.1177/19375867211007941,Serbia,CGI,Mental disorder
47,Lee 2019,10.3390/ijerph16050789,South Korea,CHS,Depression; Stress
2295,Dolling 2017,10.1016/j.ufug.2017.07.006,Sweden,CIS; PSQ; SCQ; SMBQ; SF-36,Mental wellbeing ; Self-esteem; Stress; Fatigue; Burnout
431,Huynh 2013,10.1186/1471-2458-13-407,Canada,CL,Emotional wellbeing
868,Wortzel 2021,10.3389/frsc.2021.686159,United States,COVID-19-Related Worries; GAD-7; PHQ; CMHS,Anxiety; Depression; worry; mental health
